ProductID,ProductName,ProductType,Size,ItemCode,MinOrderQty,EXPORT_pricePerSqm,MASTER_DISTRIBUTOR_pricePerSqm,DEALER_pricePerSqm,DEALER_2_pricePerSqm,Approval_Retail_pricePerSqm,Stage25_pricePerSqm,Stage2_pricePerSqm,Stage15_pricePerSqm,Stage1_pricePerSqm,Retail_pricePerSqm
1,Graffiti Polyester Paper,Graffiti Polyester Paper 5mil,"8.5""x11""",GOSF05-08x11,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
2,Graffiti Polyester Paper,Graffiti Polyester Paper 5mil,"11""x17""",GOSF05-11x17,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
3,Graffiti Polyester Paper,Graffiti Polyester Paper 5mil,"12""x18""",GOSF05-12x18,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
4,Graffiti Polyester Paper,Graffiti Polyester Paper 5mil,"13""x19""",GOSF05-13x19,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
5,Graffiti Polyester Paper,Graffiti Polyester Paper 5mil,"20.9""x29.5""",GOSF05-21x30,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
6,Graffiti Polyester Paper,Graffiti Polyester Paper 8mil,"8.5""x11""",GOSF08-08x11,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
7,Graffiti Polyester Paper,Graffiti Polyester Paper 8mil,"11""x17""",GOSF08-11x17,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
8,Graffiti Polyester Paper,Graffiti Polyester Paper 8mil,"12""x18""",GOSF08-12x18,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
9,Graffiti Polyester Paper,Graffiti Polyester Paper 8mil,"13""x19""",GOSF08-13x19,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
10,Graffiti Polyester Paper,Graffiti Polyester Paper 10mil,"8.5""x11""",GOSF10-08x11,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
