ItemCode,product_name,ProductType,size,total_sqm,min_quantity,Export,M_Distributor,Dealer,Dealer2,ApprovalNeeded,TierStage25,TierStage2,TierStage15,TierStage1,Retail
CSLS2421319S,CliQ Aqueous Medias,SlickStick 10.4mil,"13""x19""",0.15935452,250,7.78,9.45,10.5,11.05,13.23,14.17,15.12,16.06,17.01,18.9
RDLX2803610M,Rang Print Canvas,DL Polyester Canvas 280gsm,"36""x100'",27.870912,1,2.57,3.12,3.47,3.65,4.37,4.68,4.99,5.3,5.62,6.24
RDLX2804410M,Rang Print Canvas,DL Polyester Canvas 280gsm,"44""x100'",34.064448,1,2.57,3.12,3.47,3.65,4.37,4.68,4.99,5.3,5.62,6.24
RDUO4001740M,Rang Print Canvas,Rang Duo 400gsm,"17""x40'",5.2645056,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RDUO4002440M,Rang Print Canvas,Rang Duo 400gsm,"24""x40'",7.4322432,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RDUO4003660M,Rang Print Canvas,Rang Duo 400gsm,"36""x60'",16.7225472,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RDUO4004460M,Rang Print Canvas,Rang Duo 400gsm,"44""x60'",20.4386688,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RDUO4004475M,Rang Print Canvas,Rang Duo 400gsm,"44""x75'",25.548336,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RDUO4006060M,Rang Print Canvas,Rang Duo 400gsm,"60""x60'",27.870912,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RDUO4006075M,Rang Print Canvas,Rang Duo 400gsm,"60""x75'",34.83864,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RDUO4202460S,Rang Print Canvas,Rang Duo 420gsm,"24""x60'",11.1483648,1,7.66,9.3,10.33,10.88,13.02,13.95,14.88,15.81,16.74,18.6
RDUO4203660S,Rang Print Canvas,Rang Duo 420gsm,"36""x60'",16.7225472,1,7.66,9.3,10.33,10.88,13.02,13.95,14.88,15.81,16.74,18.6
RDUO4204460S,Rang Print Canvas,Rang Duo 420gsm,"44""x60'",20.4386688,1,7.66,9.3,10.33,10.88,13.02,13.95,14.88,15.81,16.74,18.6
RDUO4206060S,Rang Print Canvas,Rang Duo 420gsm,"60""x60'",27.870912,1,7.66,9.3,10.33,10.88,13.02,13.95,14.88,15.81,16.74,18.6
RLUX3456310S,Rang Print Canvas,Rang Lux 345gsm,"63""x100'",48.774096,1,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
RLUX3805410M,Rang Print Canvas,Rang Lux 380gsm,"54""x100'",41.806368,1,4.69,5.7,6.33,6.67,7.98,8.55,9.12,9.69,10.26,11.4
RLUX3806010M,Rang Print Canvas,Rang Lux 380gsm,"60""x100'",46.45152,1,4.69,5.7,6.33,6.67,7.98,8.55,9.12,9.69,10.26,11.4
RLUX3905410G,Rang Print Canvas,Rang Lux 390gsm,"54""x100'",41.806368,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
RLUX3906010G,Rang Print Canvas,Rang Lux 390gsm,"60""x100'",46.45152,1,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
SWPUVSH0811G,Screen Printing Positives,EiE Inkjet Waterproof Film,"8.5""x11""",0.06032246,100,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUVSH0814G,Screen Printing Positives,EiE Inkjet Waterproof Film,"8.5""x14""",0.07677404,100,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUVSH1117G,Screen Printing Positives,EiE Inkjet Waterproof Film,"11""x17""",0.12064492,100,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUVSH1319G,Screen Printing Positives,EiE Inkjet Waterproof Film,"13""x19""",0.15935452,100,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUVSH1722G,Screen Printing Positives,EiE Inkjet Waterproof Film,"17""x22""",0.24128984,100,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV2R1310G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 2"" Core","13""x100'",10.064496,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV2R1410G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 2"" Core","14""x100'",10.838688,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV2R2410G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 2"" Core","24""x100'",18.580608,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV2R3610G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 2"" Core","36""x100'",27.870912,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV2R4410G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 2"" Core","44""x100'",34.064448,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV2R5010G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 2"" Core","50""x100'",38.7096,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV3R1310G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 3"" Core","13""x100'",10.064496,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV3R1710G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 3"" Core","17""x100'",13.161264,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SWPUV3R2410G,Screen Printing Positives,"EiE Inkjet Waterproof Film - 3"" Core","24""x100'",18.580608,1,2.06,2.5,2.78,2.92,3.5,3.75,4,4.25,4.5,5
SFLFS040811F,Screen Printing Positives,eLe Frosted Laser Film,"8.5""x11""",0.06032246,100,2.22,2.7,3,3.16,3.78,4.05,4.32,4.59,4.86,5.4
SFLFS040814F,Screen Printing Positives,eLe Frosted Laser Film,"8.5""x14""",0.07677404,100,2.22,2.7,3,3.16,3.78,4.05,4.32,4.59,4.86,5.4
SFLFS041117F,Screen Printing Positives,eLe Frosted Laser Film,"11""x17""",0.12064492,100,2.22,2.7,3,3.16,3.78,4.05,4.32,4.59,4.86,5.4
SFLFS041218F,Screen Printing Positives,eLe Frosted Laser Film,"12""x18""",0.13935456,100,2.22,2.7,3,3.16,3.78,4.05,4.32,4.59,4.86,5.4
SFLFS041319F,Screen Printing Positives,eLe Frosted Laser Film,"13""x19""",0.15935452,100,2.22,2.7,3,3.16,3.78,4.05,4.32,4.59,4.86,5.4
SFLCS040811C,Screen Printing Positives,eLe Clear Laser Film,"8.5""x11""",0.06032246,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
SFLCS040814C,Screen Printing Positives,eLe Clear Laser Film,"8.5""x14""",0.07677404,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
SFLCS041117C,Screen Printing Positives,eLe Clear Laser Film,"11""x17""",0.12064492,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
SFLCS041218C,Screen Printing Positives,eLe Clear Laser Film,"12""x18""",0.13935456,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
SFLCS041319C,Screen Printing Positives,eLe Clear Laser Film,"13""x19""",0.15935452,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
OMXP-216x381,Offset Printing Plates,eLe Polyester Laser Plate MXP,"8.5""x15""",0.0822579,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-219x381,Offset Printing Plates,eLe Polyester Laser Plate MXP,"8.625""x15""",0.083467575,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-254x381,Offset Printing Plates,eLe Polyester Laser Plate MXP,"10""x15""",0.096774,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-254x394,Offset Printing Plates,eLe Polyester Laser Plate MXP,"10""x15.5""",0.0999998,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-279x457,Offset Printing Plates,eLe Polyester Laser Plate MXP,"11""x18""",0.12774168,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-279x470,Offset Printing Plates,eLe Polyester Laser Plate MXP,"11""x18.5""",0.13129006,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-305x457,Offset Printing Plates,eLe Polyester Laser Plate MXP,"12""x18""",0.13935456,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-305x470,Offset Printing Plates,eLe Polyester Laser Plate MXP,"12""x18.5""",0.14322552,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-305x492,Offset Printing Plates,eLe Polyester Laser Plate MXP,"12""x19.375""",0.1499997,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-330x492,Offset Printing Plates,eLe Polyester Laser Plate MXP,"13""x19.375""",0.162499675,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-330x505,Offset Printing Plates,eLe Polyester Laser Plate MXP,"13""x19.875""",0.166693215,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
OMXP-330x533,Offset Printing Plates,eLe Polyester Laser Plate MXP,"13""x21""",0.17612868,100,2.59,3.33,3.7,3.9,4.67,5,5.33,5.67,6,6.67
SDTFR0312328,DTF Film ,CoHo Films for Fabrics,"11.85""x328'",30.09129466,1,1.1,1.4,1.4,1.4,2.5,2.5,2.5,2.5,2.5,2.5
SDTFR0324328,DTF Film ,CoHo Films for Fabrics,"23.65""x328'",60.05562182,1,1.1,1.4,1.4,1.4,2.5,2.5,2.5,2.5,2.5,2.5
SDTFR0344328,DTF Film ,CoHo Films for Fabrics,"43.3""x328'",109.9538446,1,1.1,1.4,1.4,1.4,2.5,2.5,2.5,2.5,2.5,2.5
