ItemCode,product_name,ProductType,size,total_sqm,min_quantity,Export,M_Distributor,Dealer,Dealer2,ApprovalNeeded,TierStage25,TierStage2,TierStage15,TierStage1,Retail
GBAC08-13X19,Graffiti Polyester Paper,Backlit Film 8mil,"13""x19""",0.15935452,50,2.96,3.6,4,4.21,5.04,5.4,5.76,6.12,6.48,7.2
GBAC08-12X18,Graffiti Polyester Paper,Backlit Film 8mil,"12""x18""",0.13935456,50,2.96,3.6,4,4.21,5.04,5.4,5.76,6.12,6.48,7.2
GBAC08-14X20,Graffiti Polyester Paper,Backlit Film 8mil,"14.33""x20.5""",0.189525427,50,2.96,3.6,4,4.21,5.04,5.4,5.76,6.12,6.48,7.2
SFLFS04-08X11,Graffiti Polyester Paper,Frosted Film 4mil,"8.5""x11""",0.06032246,100,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
SFLFS04-11X17,Graffiti Polyester Paper,Frosted Film 4mil,"11""x17""",0.12064492,100,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
SFLFS04-12X18,Graffiti Polyester Paper,Frosted Film 4mil,"12""x18""",0.13935456,100,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
SFLFS04-13X19,Graffiti Polyester Paper,Frosted Film 4mil,"13""x19""",0.15935452,100,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
SFLFS04-08X14,Graffiti Polyester Paper,Frosted Film 4mil,"8.5""x14""",0.07677404,100,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
GFRO11-13X19,Graffiti Polyester Paper,Frosted Film 11mil,"13""x19""",0.15935452,50,3.95,4.8,5.33,5.61,6.72,7.2,7.68,8.16,8.64,9.6
SFLCS04-13X19,Graffiti Polyester Paper,Clear Film - 4mil,"13""x19""",0.15935452,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
SFLCS04-08X14,Graffiti Polyester Paper,Clear Film - 4mil,"8.5""x14""",0.07677404,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
SFLCS04-11X17,Graffiti Polyester Paper,Clear Film - 4mil,"11""x17""",0.12064492,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
SFLCS04-12X18,Graffiti Polyester Paper,Clear Film - 4mil,"12""x18""",0.13935456,100,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GCLE10-13X19,Graffiti Polyester Paper,Clear Film 10mil,"13""x19""",0.15935452,50,3.95,4.8,5.33,5.61,6.72,7.2,7.68,8.16,8.64,9.6
GCLE10-12X18,Graffiti Polyester Paper,Clear Film 10mil,"12""x18""",0.13935456,50,3.95,4.8,5.33,5.61,6.72,7.2,7.68,8.16,8.64,9.6
GAURA301-13X19,Graffiti Polyester Paper,AuraBoard - Silver,"13""x19""",0.15935452,100,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
GAURA102-13X19,Graffiti Polyester Paper,AuraBoard - Holographics,"13""x19""",0.15935452,100,6.92,8.4,9.33,9.82,11.76,12.6,13.44,14.28,15.12,16.8
