productId,productType,EXPORT_pricePerSqm,MASTER_DISTRIBUTOR_pricePerSqm,DEALER_pricePerSqm,DEALER_2_pricePerSqm,Approval_Retail__pricePerSqm,Stage25_pricePerSqm,Stage2_pricePerSqm,Stage15_pricePerSqm,Stage1_pricePerSqm,Retail_pricePerSqm
graffitistick,Graffiti SlickStick Clear - 6mil,$8.21 ,$9.96 ,$11.07 ,$11.65 ,$13.95 ,$14.95 ,$15.94 ,$16.94 ,$17.94 ,$19.93 
graffitistick,Graffiti SlickStick White - 6mil,$8.21 ,$9.96 ,$11.07 ,$11.65 ,$13.95 ,$14.95 ,$15.94 ,$16.94 ,$17.94 ,$19.93 
solvit-sign-display-media,Solvit One Way Vision Film 7mil,$3.62 ,$4.40 ,$4.89 ,$5.15 ,$6.16 ,$6.60 ,$7.04 ,$7.48 ,$7.92 ,$8.80 
solvit-sign-display-media,Solvit Polyester (Grey Back) Banner 8mil,$3.21 ,$3.90 ,$4.33 ,$4.56 ,$5.46 ,$5.85 ,$6.24 ,$6.63 ,$7.02 ,$7.80 
solvit-sign-display-media,Solvit Polyester (White Back) Banner 8mil,$3.05 ,$3.70 ,$4.11 ,$4.33 ,$5.18 ,$5.55 ,$5.92 ,$6.29 ,$6.66 ,$7.40 
solvit-sign-display-media,Solvit Polyester (Grey Back) Banner 10mil,$4.04 ,$4.90 ,$5.44 ,$5.73 ,$6.86 ,$7.35 ,$7.84 ,$8.33 ,$8.82 ,$9.80 
solvit-sign-display-media,Solvit PVC Banner 13 Oz (840x840),$1.37 ,$1.66 ,$1.84 ,$1.94 ,$2.32 ,$2.49 ,$2.66 ,$2.82 ,$2.99 ,$3.32 
solvit-sign-display-media,Solvit Poster Paper 175gsm,$1.07 ,$1.30 ,$1.44 ,$1.52 ,$1.82 ,$1.95 ,$2.08 ,$2.21 ,$2.34 ,$2.60 
solvit-sign-display-media,Solvit Backlit Film 8mil,$2.96 ,$3.60 ,$4.00 ,$4.21 ,$5.04 ,$5.40 ,$5.76 ,$6.12 ,$6.48 ,$7.20 
solvit-sign-display-media,Solvit Self Adhesive Vinyl - 4mil (Greyback),$1.32 ,$1.60 ,$1.78 ,$1.87 ,$2.24 ,$2.40 ,$2.56 ,$2.72 ,$2.88 ,$3.20 
solvit-sign-display-media,Solvit Self Adhesive Vinyl - 6mil (white Back),$2.64 ,$3.20 ,$3.56 ,$3.74 ,$4.48 ,$4.80 ,$5.12 ,$5.44 ,$5.76 ,$6.40 
solvit-sign-display-media,Solvit PolySign 11mil,$1.81 ,$2.20 ,$2.44 ,$2.57 ,$3.08 ,$3.30 ,$3.52 ,$3.74 ,$3.96 ,$4.40 
solvit-sign-display-media,Solvit PolySign 17mil,$2.80 ,$3.40 ,$3.78 ,$3.98 ,$4.76 ,$5.10 ,$5.44 ,$5.78 ,$6.12 ,$6.80 
solvit-sign-display-media,Solvit SlickStick 5mil Polyester,$5.93 ,$7.20 ,$8.00 ,$8.42 ,$10.08 ,$10.80 ,$11.52 ,$12.24 ,$12.96 ,$14.40 
cliq-aqueous-media,CliQ Cold Press Paper 300gsm,$11.32 ,$13.74 ,$15.27 ,$16.08 ,$19.24 ,$20.62 ,$21.99 ,$23.37 ,$24.74 ,$27.49 
cliq-aqueous-media,CliQ Hot Press Paper 270gsm,$15.14 ,$18.38 ,$20.43 ,$21.50 ,$25.74 ,$27.57 ,$29.41 ,$31.25 ,$33.09 ,$36.77 
cliq-aqueous-media,CliQ Cotton Rag Paper 300gsm,$12.59 ,$15.29 ,$16.99 ,$17.88 ,$21.41 ,$22.94 ,$24.46 ,$25.99 ,$27.52 ,$30.58 
cliq-aqueous-media,CliQ Inkjet Matte Paper 230gsm,$3.11 ,$3.78 ,$4.20 ,$4.42 ,$5.29 ,$5.67 ,$6.05 ,$6.43 ,$6.80 ,$7.56 
cliq-aqueous-media,CliQ PETBull 7mil,$3.05 ,$3.70 ,$4.11 ,$4.33 ,$5.18 ,$5.55 ,$5.92 ,$6.29 ,$6.66 ,$7.40 
cliq-aqueous-media,CliQ Photo Paper 10.4mil,$2.77 ,$3.36 ,$3.73 ,$3.93 ,$4.70 ,$5.04 ,$5.38 ,$5.71 ,$6.05 ,$6.72 
cliq-aqueous-media,CliQ Photo Paper 11.2 mil,$2.88 ,$3.50 ,$3.89 ,$4.09 ,$4.90 ,$5.25 ,$5.60 ,$5.95 ,$6.30 ,$7.00 
cliq-aqueous-media,CliQ Banner Media - 15mil,$8.49 ,$10.31 ,$11.45 ,$12.06 ,$14.43 ,$15.46 ,$16.49 ,$17.52 ,$18.55 ,$20.62 
cliq-aqueous-media,CliQ Inkjet Matte Paper 170gsm,$1.98 ,$2.41 ,$2.67 ,$2.81 ,$3.37 ,$3.61 ,$3.85 ,$4.09 ,$4.33 ,$4.81 
cliq-aqueous-media,CliQ Photo Paper 8.4mil,$2.64 ,$3.20 ,$3.56 ,$3.74 ,$4.48 ,$4.80 ,$5.12 ,$5.44 ,$5.76 ,$6.40 
cliq-aqueous-media,CliQ Self Adhesive Vinyl - 5mil (PVC),$6.34 ,$7.70 ,$8.56 ,$9.01 ,$10.78 ,$11.55 ,$12.32 ,$13.09 ,$13.86 ,$15.40 
cliq-aqueous-media,CliQ SlickStick 10.4mil,$7.78 ,$9.45 ,$10.50 ,$11.05 ,$13.23 ,$14.17 ,$15.12 ,$16.06 ,$17.01 ,$18.90 
rang-print-canvas,Rang DL Polyester Canvas 280gsm,$2.57 ,$3.12 ,$3.47 ,$3.65 ,$4.37 ,$4.68 ,$4.99 ,$5.30 ,$5.62 ,$6.24 
rang-print-canvas,Rang Duo PolyCotton Canvas 400gsm,$4.86 ,$5.90 ,$6.56 ,$6.90 ,$8.26 ,$8.85 ,$9.44 ,$10.03 ,$10.62 ,$11.80 
rang-print-canvas,Rang Duo PolyCotton Canvas 420gsm,$7.66 ,$9.30 ,$10.33 ,$10.88 ,$13.02 ,$13.95 ,$14.88 ,$15.81 ,$16.74 ,$18.60 
rang-print-canvas,Rang Lux PolyCotton Canvas 345gsm,$3.21 ,$3.90 ,$4.33 ,$4.56 ,$5.46 ,$5.85 ,$6.24 ,$6.63 ,$7.02 ,$7.80 
rang-print-canvas,Rang Lux PolyCotton Canvas 380gsm,$4.69 ,$5.70 ,$6.33 ,$6.67 ,$7.98 ,$8.55 ,$9.12 ,$9.69 ,$10.26 ,$11.40 
rang-print-canvas,Rang Lux PolyCotton Canvas 390gsm,$4.86 ,$5.90 ,$6.56 ,$6.90 ,$8.26 ,$8.85 ,$9.44 ,$10.03 ,$10.62 ,$11.80 
screen-printing-positives,EiE Inkjet Waterproof Film,$2.06 ,$2.50 ,$2.78 ,$2.92 ,$3.50 ,$3.75 ,$4.00 ,$4.25 ,$4.50 ,$5.00 
screen-printing-positives,eLe Frosted Laser Film,$2.22 ,$2.70 ,$3.00 ,$3.16 ,$3.78 ,$4.05 ,$4.32 ,$4.59 ,$4.86 ,$5.40 
screen-printing-positives,eLe Clear Laser Film,$1.98 ,$2.40 ,$2.67 ,$2.81 ,$3.36 ,$3.60 ,$3.84 ,$4.08 ,$4.32 ,$4.80 
offset-printing-plates,eLe Polyester Laser Plate MXP,$2.59 ,$3.33 ,$3.70 ,$3.90 ,$4.67 ,$5.00 ,$5.33 ,$5.67 ,$6.00 ,$6.67 
dtf-films,CoHo DTF Films for Fabrics,$1.19 ,$1.26 ,$0.00 ,$0.00 ,$1.77 ,$1.89 ,$2.02 ,$2.14 ,$2.27 ,$2.52 
